# sto,ocp
0.031296231,1.0828807
0.034999017,0.99593794
0.038701798,0.90023398
0.042404576,0.79649431
0.046107357,0.73354429
0.049810147,0.66664314
0.053512917,0.64137149
0.05721568,0.59813869
0.06091845,0.5670836
0.064621218,0.54746181
0.06832399,0.53068399
0.072026752,0.51304734
0.075729512,0.49394092
0.079432272,0.47926274
0.083135031,0.46065259
0.086837786,0.45992726
0.090540544,0.43801501
0.094243312,0.42438665
0.09794607,0.41150269
0.101648825,0.40033659
0.105351579,0.38957134
0.109054336,0.37756538
0.112757097,0.36292541
0.116459849,0.34357086
0.120162608,0.3406314
0.123865357,0.32299468
0.127568112,0.31379458
0.131270864,0.30795386
0.134973621,0.29207319
0.138676383,0.28697687
0.14237913,0.27405477
0.14608189,0.2670497
0.14978465,0.25857493
0.153487405,0.25265783
0.157190176,0.24826777
0.160892939,0.2414345
0.164595701,0.23362778
0.16829847,0.22956218
0.172001224,0.22370236
0.175703988,0.22181271
0.179406739,0.22089651
0.183109501,0.2194268
0.186812286,0.21830064
0.190515044,0.21845333
0.194217798,0.21753715
0.197920561,0.21719357
0.201623338,0.21635373
0.2053261,0.21667822
0.209028863,0.21738444
0.212731638,0.21469313
0.2164344,0.21541846
0.220137159,0.21465495
0.223839933,0.2135479
0.227542705,0.21392964
0.231245473,0.21074206
0.234948247,0.20873788
0.238651007,0.20465319
0.242353771,0.20205732
0.246056535,0.19774358
0.249759296,0.19444147
0.253462075,0.19190285
0.257164856,0.18850531
0.260867623,0.18581399
0.264570388,0.18327537
0.268273142,0.18157659
0.271975899,0.17814088
0.275678671,0.17529686
0.279381438,0.1719375
0.283084209,0.16934161
0.286786984,0.16756649
0.290489741,0.16609676
0.294192511,0.16414985
0.297895288,0.16260378
0.301598064,0.16224113
0.30530083,0.160027
0.309003606,0.15827096
0.312706366,0.1588054
0.316409129,0.15552238
0.320111892,0.15580869
0.323814658,0.15220118
0.32751744,0.1511132
0.331220205,0.14987253
0.334922968,0.14874637
0.338625751,0.14678037
0.342328528,0.14620776
0.34603131,0.14555879
0.349734084,0.14389819
0.353436855,0.14359279
0.357139628,0.14242846
0.360842412,0.14038612
0.364545175,0.13882096
0.368247948,0.13954628
0.371950715,0.13946992
0.375653482,0.13780934
0.37935626,0.13973714
0.383059045,0.13698858
0.38676182,0.13523254
0.390464597,0.13441178
0.394167374,0.1352898
0.397870147,0.13507985
0.401572911,0.13647321
0.405275674,0.13601512
0.408978444,0.13435452
0.412681205,0.1334765
0.416383982,0.1348317
0.420086761,0.13275118
0.423789528,0.13286571
0.427492296,0.13263667
0.431195061,0.13456447
0.434897837,0.13471718
0.438600611,0.13395369
0.442303382,0.13448814
0.446006148,0.1334765
0.449708926,0.13298023
0.453411684,0.13259849
0.457114441,0.13338107
0.460817193,0.13309476
0.464519943,0.13275118
0.468222694,0.13443087
0.471925449,0.13315202
0.475628215,0.132713
0.479330982,0.1330184
0.483033747,0.13278936
0.486736511,0.13225491
0.490439263,0.13317111
0.494142033,0.13263667
0.497844817,0.13187316
0.501547588,0.13265574
0.505250356,0.13250305
0.508953106,0.13324745
0.512655855,0.13204496
0.516358615,0.13242669
0.520061386,0.13233127
0.523764154,0.13198769
0.527466922,0.13254122
0.531169691,0.13145325
0.534872451,0.13298023
0.538575207,0.13168229
0.542277974,0.1313578
0.54598074,0.13235036
0.549683501,0.13120511
0.55338627,0.13089971
0.55708902,0.13109058
0.560791784,0.13082336
0.564494537,0.13011713
0.568197299,0.129869
0.571900057,0.12992626
0.575602818,0.12942998
0.579305582,0.12796026
0.583008351,0.12862831
0.586711119,0.12656689
0.590413886,0.12734947
0.594116642,0.12509716
0.597819412,0.12110791
0.601522182,0.11839751
0.605224955,0.11244226
0.608927724,0.11307214
0.612630478,0.1092165
0.61633325,0.10683058
0.620036027,0.10433014
0.623738798,0.10530359
0.627441562,0.10056993
0.631144326,0.099501044
0.634847115,0.098546676
0.638549884,0.099214733
0.642252651,0.095416352
0.64595543,0.099806435
0.649658232,0.098661199
0.653361005,0.095607221
0.657063775,0.097554132
0.660766564,0.096122585
0.664469339,0.094309285
0.668172119,0.096618854
0.671874891,0.093660317
0.67557767,0.095225476
0.679280441,0.095359087
0.68298322,0.093164042
0.686686002,0.094500162
0.690388779,0.093087696
0.694091555,0.093431264
0.697794325,0.093240395
0.701497094,0.093507618
0.705199875,0.093393095
0.708902639,0.092915908
0.712605404,0.09303043
0.716308185,0.092629597
0.720010954,0.093240395
0.723713711,0.092610516
0.727416484,0.092495985
0.731119252,0.092400551
0.734822036,0.092534162
0.7385248,0.092095152
0.742227568,0.092343286
0.74593034,0.093660317
0.749633119,0.09333583
0.753335892,0.093221307
0.757038685,0.092648685
0.76074146,0.092534162
0.764444224,0.092438728
0.768146984,0.092305116
0.77184976,0.093106784
0.775552533,0.091656148
0.779255308,0.091598883
0.782958073,0.092076063
0.786660853,0.091751583
0.790363639,0.091770671
0.794066407,0.092362374
0.797769181,0.092419639
0.801471972,0.093202218
0.80517474,0.091999717
0.808877513,0.091675229
0.812580278,0.093221307
0.816283043,0.091904283
0.819985807,0.091675229
0.823688582,0.09285865
0.827391363,0.091808841
0.831094112,0.091503449
0.834796875,0.091866106
0.838499654,0.092018805
0.842202418,0.093202218
0.845905185,0.091312572
0.849607966,0.091178961
0.853310746,0.091331661
0.857013527,0.09089265
0.860716309,0.090587251
0.864419074,0.090510905
0.868121861,0.090339117
